175	ラヴェル	Ravel	高雅にして感傷的なワルツ	Valses Nobles et Sentimentales	Durand＆Cie	F.O.	×	"スコア、Vn1,2なし"											
176	ラヴェル	Ravel	ダフニスとクロエ第二組曲	Daphnis et Chloe Suite No.2	Durand＆Cie	F.O.	×	Tubなし											
177	ラヴェル	Ravel	古風なメヌエット	Menuet Antique	Enoch et Cie	F.O.	×	Vn1、Cbなし	日吉	高ワグに貸し出し中									
178	リムスキー・コルサコフ	Rimsky-Korsakov	シェヘラザード	Scheherazade Op.35	Kalmus	F.O.	×	Va、Cbなし											
179	ロッシーニ	Rossini	アルジェのイタリア女	Die Italianerin in Algier	Breitkopf&Haertels	F.O.	×	"スコア、Ob1、Cl1,2、Fg1、Timp1,2、Vn1,2、Timpなし"											
180	ロッシーニ	Rossini	セビリアの理髪師	Die Barber zu Sevilia		F.O.	×	スコアなし											
181	ロッシーニ	Rossini	「どろぼうかささぎ」序曲	"Ouverture zur Oper ""Die diebische Elster"""	Breitkopf&Haertels	F.O.	×	スコア、Cbなし											
182	ロッシーニ	Rossini	序曲「ウィリアム・テル」	"Overture ""Guillaume Tell"""	Breitkopf&Haertels	F.O.	○												
183	ラヴェル	Ravel	ボレロ	Bolero		F.O.													
184	リムスキー・コルサコフ	Rimsky-Korsakov	スペイン奇想曲	Capriccio Espagnol	Hampton Orchestra Library	F.O.	×	スコアなし											
185	サン・サーンス	Saint-Saens	交響曲第３番	Symphony No.3	Durand＆Cie	F.O.	×	Vaなし											
186	サン・サーンス	Saint-Saens	バイオリン協奏曲第３番	Violin Concerto No.3	Kalmus	F.O.	×	スコア、独奏Vn											
187	サン・サーンス	Saint-Saens	アルジェリア組曲	Suite Algerienne	Durand＆Cie	F.O.	×	Kalmusと混合											
188	ショスタコーヴィチ	Schostakowitsch	交響曲第５番	Symphony No.5	Kalmus	F.O.	○	Sikorski版と混合											
189	ショスタコーヴィチ	Schostakowitsch	交響曲第９番	Symphony No.9	Breitkopf&Haertels	F.O.	×	Trb2、Trg、タンバリンなし											
190	ショスタコーヴィチ	Schostakowitsch	交響曲第11番	Symphony No.11		F.O.	×	スコアなし	日吉										
191	シューマン	Schumann	交響曲第2番	Symphony No.2	Breitkopf&Haertels	F.O.	×	Trb1〜3なし											
192	シューマン	Schumann	交響曲第4番	Symphony No.4	Breitkopf&Haertels	F.O.	×	スコアのみ											
193	シューマン	Schumann	ピアノ協奏曲	Piano Concerto	Breitkopf&Haertels	F.O.	×	"スコア、Vn1,2、Va、Vc、Cb"											
